target,monthly_income,time_of_month,savings,guests
3.69,3915,16,high,0
2.54,3254,18,medium,0
2.77,5079,26,low,0
3.56,4046,25,low,0
3.1,8286,21,high,0
4.41,6520,16,high,0
3.49,2032,2,medium,0
1.57,1740,18,medium,1
2.22,2982,6,medium,0
1.0,3459,27,medium,0
2.76,3672,14,medium,0
1.0,3718,9,low,0
5.0,4792,21,medium,1
3.68,8687,19,medium,0
1.96,4185,23,low,0
3.28,9397,15,low,0
3.84,4503,2,medium,1
2.51,3004,15,low,0
5.0,4709,11,high,0
2.58,3194,17,high,0
2.12,1377,4,high,0
3.96,6482,20,high,0
2.32,1041,3,medium,0
4.3,9169,16,medium,0
2.6,5199,22,high,0
5.0,4898,13,high,0
2.98,3000,11,medium,0
2.94,4182,22,medium,0
1.95,7820,4,low,0
3.19,9041,6,high,0
2.12,3587,17,high,0
5.0,9486,29,medium,0
1.0,1147,28,low,0
4.38,9466,14,low,0
2.94,2159,14,medium,1
3.68,8012,29,medium,0
3.27,4693,15,high,1
5.0,9382,23,high,0
3.32,8947,5,high,0
4.64,8659,31,low,0
1.0,1835,8,medium,0
2.11,8548,20,high,0
4.68,8617,17,high,0
1.89,9579,6,medium,0
3.85,7747,2,high,0
5.0,7043,1,medium,0
3.2,9993,15,low,0
4.69,5949,4,high,0
4.0,5487,21,low,0
4.02,9720,29,high,0
2.53,8262,27,low,0
2.87,5110,12,high,0
5.0,8967,3,high,0
2.92,3313,26,low,0
2.21,2574,24,medium,0
1.0,1144,12,medium,0
3.44,2413,7,low,0
3.27,5514,20,low,0
3.98,5781,15,medium,0
5.0,4307,27,low,1
3.5,7888,18,high,0
3.57,4104,27,high,0
4.9,9524,29,medium,0
3.96,4973,24,high,0
5.0,7542,1,high,1
5.0,7319,9,medium,0
4.21,9167,9,low,0
4.99,5624,1,low,0
4.53,6594,23,low,0
1.0,1044,31,medium,0
2.87,5734,4,medium,0
4.6,7821,24,high,1
1.28,8627,20,low,0
1.0,3949,27,low,0
3.61,9372,12,high,0
4.62,8868,19,low,0
2.85,9408,25,low,0
1.0,1632,17,medium,0
2.63,2862,2,low,1
3.52,3595,21,high,0
4.88,7420,29,high,0
2.38,7321,28,high,0
3.91,7655,6,high,0
2.4,7728,24,high,0
1.68,6133,28,low,0
5.0,7651,8,high,0
2.23,2850,4,medium,0
4.31,7099,14,medium,0
4.05,9171,25,low,1
1.22,3993,25,low,0
4.03,4332,23,high,0
2.14,5178,25,low,0
3.33,5339,24,high,0
2.98,9228,24,low,0
3.56,7313,24,low,0
2.54,8328,15,high,0
2.81,9970,26,high,0
4.62,7687,3,high,0
3.78,6391,17,high,0
2.13,1063,22,high,0
3.12,1270,25,high,0
4.69,4778,31,high,0
5.0,4641,12,low,1
3.06,3707,17,medium,0
3.89,6056,4,high,0
1.0,8688,17,medium,0
1.57,2479,27,medium,0
3.51,8948,8,low,0
5.0,8828,18,high,1
4.54,9904,16,high,0
5.0,9302,30,medium,0
2.64,7691,11,high,0
4.31,7244,30,high,0
2.16,1768,13,medium,0
4.41,7274,1,low,0
5.0,8042,12,medium,0
3.51,7641,26,low,0
4.5,8131,27,medium,1
2.83,5823,17,high,0
5.0,9447,23,medium,0
1.91,1257,3,high,0
3.97,7039,31,high,0
2.32,4762,16,low,0
2.07,1598,31,high,0
2.3,1920,23,medium,0
2.17,7848,20,medium,0
3.4,7409,6,low,0
3.62,7464,13,high,0
4.13,8784,23,low,0
3.8,5263,23,high,0
3.11,4780,1,high,0
5.0,8919,10,high,1
3.71,5561,14,high,0
1.43,2572,12,low,0
3.36,5210,8,high,0
4.22,2111,21,medium,0
2.69,6189,29,high,0
1.12,8420,20,low,0
2.18,1914,21,high,0
2.97,1290,7,high,0
1.91,2054,2,medium,0
3.23,4661,11,low,0
2.58,6729,14,low,0
3.46,5978,17,high,0
2.82,7173,1,high,0
1.97,4841,21,low,0
4.01,9274,17,medium,0
1.73,7164,15,low,0
3.28,1233,5,medium,0
3.11,3688,5,medium,0
2.01,6026,4,medium,0
5.0,9266,9,high,0
4.08,6573,26,medium,1
5.0,4066,17,high,0
3.13,6455,10,medium,0
3.09,2205,27,medium,0
3.25,6550,21,medium,0
4.72,1154,8,high,0
2.63,1597,1,high,1
1.09,2241,24,high,0
3.12,7902,20,low,0
5.0,7713,11,high,0
3.86,9421,30,low,0
4.1,6521,5,medium,0
4.74,9030,27,high,0
3.04,2137,14,high,0
3.37,2928,23,high,1
2.02,1192,3,high,0
3.85,2311,28,medium,0
3.14,3221,10,low,0
3.09,4482,28,medium,0
1.26,6033,23,medium,0
1.22,1211,16,high,0
2.77,9651,22,low,0
4.5,5643,9,medium,0
2.72,8123,16,low,0
3.38,3999,25,medium,0
2.88,5631,3,high,0
2.71,5995,11,medium,0
3.05,2026,18,high,0
1.34,9758,23,low,0
5.0,3726,21,high,0
2.84,3240,16,low,0
3.98,5003,18,low,0
5.0,5476,16,medium,0
4.65,7022,8,low,0
2.25,7395,17,low,0
2.16,1846,9,low,0
1.52,9585,28,medium,0
3.38,5359,30,medium,0
2.65,4559,8,medium,0
5.0,6686,6,low,0
4.54,5511,27,low,0
2.31,5110,4,low,0
2.14,3773,26,medium,0
2.7,2860,1,medium,0
3.14,5817,18,high,0
5.0,5476,8,high,0
3.54,5325,2,low,0
3.04,5113,26,high,0
4.19,6643,26,high,0
2.86,8326,6,medium,0
3.98,9499,2,medium,0
3.69,8193,3,medium,0
4.66,8305,21,high,1
4.2,4310,3,medium,0
2.26,2782,22,medium,0
2.15,7458,13,high,0
3.59,5604,17,high,0
3.72,4983,27,high,0
2.22,2255,3,medium,0
3.4,8695,26,high,0
1.9,8775,17,medium,0
3.82,7371,4,high,0
2.68,6678,4,high,0
5.0,5115,17,high,0
1.0,1435,8,low,0
2.1,1725,18,low,0
2.91,3161,16,high,0
3.21,7554,3,low,0
2.19,2694,21,low,1
2.15,3162,18,medium,0
5.0,2870,3,high,0
3.88,4982,18,medium,0
1.53,1738,31,medium,0
4.55,6896,2,high,0
1.27,1185,11,high,0
2.6,7971,19,high,0
2.45,3310,14,low,1
5.0,7263,10,low,0
1.67,1694,30,medium,0
5.0,7168,1,medium,0
4.81,7546,27,medium,0
3.02,9468,5,medium,0
3.76,9366,11,low,0
1.87,2916,12,low,0
3.42,7905,15,high,0
2.73,4313,26,low,0
1.88,3127,23,low,0
2.6,3316,28,medium,1
3.28,1897,9,low,0
4.76,5101,22,medium,0
3.94,4595,21,high,0
4.89,6208,7,medium,0
1.13,4448,6,low,0
3.47,2261,25,medium,0
3.39,9403,21,low,0
2.7,9730,6,low,0
5.0,8539,7,high,1
1.35,2849,25,low,0
2.79,5311,15,medium,0
3.76,7448,15,low,0
4.08,4336,27,high,0
2.22,1522,8,low,0
1.7,3087,12,high,0
2.05,5867,30,low,0
3.09,6036,20,high,0
4.21,9247,17,high,0
3.38,9158,1,low,1
3.53,6023,24,medium,0
2.13,7141,5,high,0
3.33,7925,15,low,0
3.97,3252,25,low,0
2.76,3387,25,low,0
2.33,1741,6,low,1
3.69,1609,24,high,0
3.38,6996,26,low,0
5.0,9764,3,medium,0
3.38,5595,1,medium,0
5.0,7424,27,high,0
3.26,8322,31,medium,0
2.24,4090,17,high,0
1.81,1460,12,high,0
4.71,4590,30,medium,0
1.32,2966,11,low,0
3.44,6690,2,low,0
1.18,3690,31,low,0
3.25,3271,10,medium,0
2.37,7220,27,medium,0
4.67,8351,4,high,0
2.51,2669,13,high,0
3.24,8857,25,medium,0
3.78,6741,30,high,0
1.0,1271,31,low,0
3.37,5822,8,low,0
5.0,5667,4,high,0
1.79,1373,1,high,0
3.04,2375,21,medium,0
3.27,3279,5,high,0
2.99,7069,11,medium,0
4.0,9996,4,medium,0
3.41,7153,17,medium,0
1.83,1122,29,high,0
4.66,7784,31,low,1
5.0,7856,4,medium,1
1.42,8658,16,medium,0
1.0,1320,28,medium,0
1.98,1188,21,high,0
5.0,4236,15,low,0
4.19,9581,18,medium,0
2.06,1397,25,high,0
5.0,7515,13,high,0
3.8,1713,2,medium,0
1.42,2989,23,high,0
4.0,6965,1,medium,0
3.75,6793,11,high,1
4.0,9185,23,medium,0
2.75,3398,26,high,0
3.48,9942,17,medium,0
3.49,8807,9,low,1
3.46,7125,14,low,0
1.93,2527,18,low,0
4.25,4559,26,medium,0
2.73,8539,23,medium,0
3.09,2785,5,high,0
2.39,7792,17,low,0
1.44,8199,16,low,0
1.89,3863,6,high,0
3.84,8629,19,high,0
4.01,3898,29,medium,0
3.08,7594,4,medium,0
3.52,7370,13,low,0
5.0,8636,13,high,0
2.45,7893,7,medium,0
1.41,2339,28,high,0
2.93,6305,14,low,0
2.3,9117,28,medium,0
2.23,3144,31,medium,1
4.82,6377,6,medium,0
3.76,4150,30,high,0
1.55,2169,9,low,0
2.2,5256,30,low,0
3.4,8513,5,medium,0
5.0,6094,27,high,0
4.04,9184,25,low,1
2.65,7953,19,low,0
4.05,1588,29,medium,0
1.23,2999,2,high,0
2.96,2136,10,low,0
2.81,3086,26,medium,0
4.51,9785,6,medium,0
5.0,5518,8,high,1
3.53,7187,27,high,0
4.17,3532,14,medium,0
2.97,8836,28,medium,0
3.44,1913,6,high,0
4.94,6648,16,medium,1
1.98,9806,29,low,0
2.69,9053,30,low,0
4.36,9294,27,medium,0
5.0,9173,9,high,0
4.81,3138,2,high,0
3.39,2731,18,medium,0
3.01,6189,6,low,0
3.66,8238,15,high,0
3.24,6338,27,medium,0
3.1,5478,3,low,0
4.01,9055,2,medium,0
3.89,1658,6,high,0
4.25,8027,9,high,1
1.65,2770,6,low,0
1.73,2374,30,medium,0
5.0,4119,13,high,0
3.27,8573,4,low,0
2.36,2094,30,medium,0
3.75,5112,7,low,0
3.05,6903,31,medium,0
3.82,9275,15,low,0
4.51,9283,8,high,0
4.64,9774,6,medium,0
2.69,6949,12,medium,0
3.3,8786,28,low,0
1.0,1256,8,low,0
2.26,4118,17,medium,0
2.84,6968,27,low,0
4.48,1717,30,high,0
4.5,7652,5,medium,1
5.0,7160,4,high,0
4.49,8051,22,low,0
3.39,7281,22,low,0
4.12,4600,2,high,0
1.0,2140,27,high,0
5.0,8357,17,medium,0
