target,monthly_income,time_of_month,savings,guests
3,3915,16,high,0
1,3254,18,medium,0
2,5079,26,low,0
2,4046,25,low,0
2,8286,21,high,0
4,6520,16,high,0
3,2032,2,medium,0
1,1740,18,medium,1
1,2982,6,medium,0
1,3459,27,medium,0
2,3672,14,medium,0
1,3718,9,low,0
4,4792,21,medium,1
3,8687,19,medium,0
1,4185,23,low,0
3,9397,15,low,0
3,4503,2,medium,1
1,3004,15,low,0
5,4709,11,high,0
1,3194,17,high,0
2,1377,4,high,0
3,6482,20,high,0
2,1041,3,medium,0
4,9169,16,medium,0
2,5199,22,high,0
4,4898,13,high,0
2,3000,11,medium,0
2,4182,22,medium,0
1,7820,4,low,0
3,9041,6,high,0
1,3587,17,high,0
5,9486,29,medium,0
1,1147,28,low,0
4,9466,14,low,0
2,2159,14,medium,1
3,8012,29,medium,0
2,4693,15,high,1
5,9382,23,high,0
3,8947,5,high,0
4,8659,31,low,0
1,1835,8,medium,0
2,8548,20,high,0
4,8617,17,high,0
1,9579,6,medium,0
3,7747,2,high,0
4,7043,1,medium,0
3,9993,15,low,0
4,5949,4,high,0
3,5487,21,low,0
4,9720,29,high,0
2,8262,27,low,0
2,5110,12,high,0
5,8967,3,high,0
2,3313,26,low,0
1,2574,24,medium,0
1,1144,12,medium,0
3,2413,7,low,0
2,5514,20,low,0
3,5781,15,medium,0
5,4307,27,low,1
3,7888,18,high,0
2,4104,27,high,0
4,9524,29,medium,0
3,4973,24,high,0
5,7542,1,high,1
4,7319,9,medium,0
4,9167,9,low,0
4,5624,1,low,0
4,6594,23,low,0
1,1044,31,medium,0
2,5734,4,medium,0
4,7821,24,high,1
1,8627,20,low,0
1,3949,27,low,0
3,9372,12,high,0
4,8868,19,low,0
2,9408,25,low,0
1,1632,17,medium,0
2,2862,2,low,1
3,3595,21,high,0
4,7420,29,high,0
1,7321,28,high,0
3,7655,6,high,0
2,7728,24,high,0
1,6133,28,low,0
5,7651,8,high,0
1,2850,4,medium,0
3,7099,14,medium,0
4,9171,25,low,1
1,3993,25,low,0
3,4332,23,high,0
1,5178,25,low,0
2,5339,24,high,0
2,9228,24,low,0
3,7313,24,low,0
2,8328,15,high,0
2,9970,26,high,0
4,7687,3,high,0
3,6391,17,high,0
2,1063,22,high,0
3,1270,25,high,0
3,4778,31,high,0
5,4641,12,low,1
2,3707,17,medium,0
3,6056,4,high,0
1,8688,17,medium,0
1,2479,27,medium,0
3,8948,8,low,0
5,8828,18,high,1
4,9904,16,high,0
5,9302,30,medium,0
2,7691,11,high,0
3,7244,30,high,0
2,1768,13,medium,0
4,7274,1,low,0
5,8042,12,medium,0
3,7641,26,low,0
4,8131,27,medium,1
2,5823,17,high,0
5,9447,23,medium,0
1,1257,3,high,0
3,7039,31,high,0
1,4762,16,low,0
2,1598,31,high,0
2,1920,23,medium,0
1,7848,20,medium,0
3,7409,6,low,0
3,7464,13,high,0
4,8784,23,low,0
3,5263,23,high,0
2,4780,1,high,0
5,8919,10,high,1
3,5561,14,high,0
1,2572,12,low,0
2,5210,8,high,0
3,2111,21,medium,0
2,6189,29,high,0
1,8420,20,low,0
2,1914,21,high,0
2,1290,7,high,0
1,2054,2,medium,0
2,4661,11,low,0
2,6729,14,low,0
3,5978,17,high,0
2,7173,1,high,0
1,4841,21,low,0
4,9274,17,medium,0
1,7164,15,low,0
3,1233,5,medium,0
2,3688,5,medium,0
1,6026,4,medium,0
5,9266,9,high,0
3,6573,26,medium,1
4,4066,17,high,0
2,6455,10,medium,0
2,2205,27,medium,0
2,6550,21,medium,0
4,1154,8,high,0
2,1597,1,high,1
1,2241,24,high,0
2,7902,20,low,0
4,7713,11,high,0
3,9421,30,low,0
3,6521,5,medium,0
4,9030,27,high,0
2,2137,14,high,0
2,2928,23,high,1
2,1192,3,high,0
3,2311,28,medium,0
2,3221,10,low,0
2,4482,28,medium,0
1,6033,23,medium,0
1,1211,16,high,0
2,9651,22,low,0
4,5643,9,medium,0
2,8123,16,low,0
2,3999,25,medium,0
2,5631,3,high,0
2,5995,11,medium,0
2,2026,18,high,0
1,9758,23,low,0
4,3726,21,high,0
2,3240,16,low,0
3,5003,18,low,0
