target,monthly_income,time_of_month,savings,guests
4,5361,4,medium,1
3,3716,14,low,0
3,3059,18,low,1
4,6475,22,medium,0
1,1094,31,low,0
4,6132,14,medium,0
5,8345,27,high,0
5,7971,23,high,1
5,9586,27,high,0
4,6548,1,medium,0
4,5854,8,medium,0
1,1686,29,low,0
1,1004,15,low,0
4,5504,2,medium,1
4,5053,4,medium,1
3,3687,24,low,0
4,6202,7,medium,1
4,6547,1,medium,0
2,2843,31,low,0
5,7822,20,high,0
4,4252,6,medium,0
4,4942,27,medium,1
5,9726,4,high,0
3,3734,8,low,1
3,3498,9,low,0
4,5275,19,medium,0
4,4277,21,medium,0
1,1499,18,low,1
3,3905,23,low,0
4,5848,4,medium,0
2,2818,3,low,1
5,9683,31,high,1
4,4967,31,medium,0
4,6169,16,medium,1
5,7395,5,high,0
5,7435,11,high,1
2,2612,1,low,0
5,9305,7,high,0
2,2793,21,low,1
2,2426,24,low,1
4,4671,7,medium,0
5,8939,2,high,1
5,7655,29,high,0
4,6801,26,medium,0
4,4643,3,medium,0
4,6631,2,medium,0
2,2843,19,low,0
4,4839,19,medium,0
5,9566,19,high,0
5,8847,7,high,0
4,5990,15,medium,1
4,6394,25,medium,0
5,9030,14,high,0
5,7433,15,high,0
5,9276,10,high,0
5,7938,7,high,0
1,1759,27,low,1
2,2440,6,low,0
5,7938,21,high,1
4,5815,1,medium,0
5,8438,18,high,0
1,1902,15,low,0
5,7172,1,high,0
5,9102,29,high,0
1,1345,30,low,1
1,1768,31,low,0
5,9789,5,high,0
5,7223,30,high,0
4,4552,8,medium,0
4,6773,16,medium,0
4,6569,22,medium,1
4,5303,27,medium,1
2,2796,11,low,1
4,6821,29,medium,0
4,4311,14,medium,0
5,9902,30,high,0
1,1444,6,low,0
4,4109,10,medium,0
5,7942,7,high,1
2,2811,1,low,0
2,2719,16,low,0
5,8269,16,high,0
4,6894,27,medium,0
5,8707,27,high,1
4,4316,5,medium,1
1,1490,20,low,0
5,8892,30,high,0
4,4463,2,medium,0
2,2489,19,low,0
4,4886,1,medium,1
4,4834,1,medium,0
1,1854,5,low,0
5,8584,4,high,0
5,7732,15,high,0
5,8781,14,high,1
5,9685,17,high,0
1,1059,8,low,0
5,8456,26,high,0
3,3926,15,low,0
1,1702,10,low,0
5,7862,30,high,1
5,8957,30,high,0
2,2744,15,low,1
2,2608,8,low,0
4,6661,27,medium,1
4,6814,18,medium,1
5,9413,17,high,1
5,9783,12,high,1
1,1395,14,low,1
2,2325,18,low,1
3,3890,12,low,1
1,1125,6,low,0
5,8579,11,high,0
3,3152,9,low,0
2,2212,22,low,0
5,7161,22,high,1
4,4910,8,medium,0
2,2226,18,low,0
4,6398,14,medium,0
2,2206,8,low,0
5,7091,26,high,1
2,2235,19,low,0
2,2635,12,low,0
2,2109,30,low,1
5,8211,14,high,0
2,2244,8,low,1
5,7671,21,high,0
5,8874,29,high,0
5,9752,14,high,0
5,7970,21,high,0
5,7705,20,high,0
4,6563,2,medium,1
3,3555,12,low,1
4,5289,7,medium,0
4,5020,19,medium,0
5,9674,11,high,0
3,3912,16,low,0
4,5537,17,medium,1
5,9639,14,high,0
3,3266,3,low,0
3,3540,1,low,0
2,2651,14,low,0
2,2877,12,low,1
5,7470,19,high,1
5,8520,11,high,0
4,5312,9,medium,0
2,2425,29,low,1
2,2205,26,low,0
1,1628,28,low,1
5,9638,2,high,1
2,2309,28,low,1
4,6011,21,medium,0
5,8024,31,high,1
4,6484,2,medium,1
2,2490,28,low,0
5,7297,22,high,0
1,1671,11,low,0
2,2834,13,low,0
1,1954,23,low,0
1,1055,3,low,1
4,6783,13,medium,0
2,2505,15,low,1
2,2652,15,low,0
4,5140,11,medium,0
4,6585,17,medium,0
1,1235,1,low,0
4,6796,22,medium,0
5,9342,29,high,0
5,7169,6,high,0
5,7326,2,high,0
5,8171,17,high,0
2,2806,28,low,1
5,9144,2,high,0
5,9232,30,high,0
5,7363,13,high,0
5,9345,18,high,1
4,6260,2,medium,0
3,3147,10,low,1
3,3547,1,low,1
2,2529,3,low,1
3,3704,4,low,0
5,8498,4,high,0
5,7944,19,high,0
5,7967,15,high,1
2,2354,27,low,0
4,5015,30,medium,0
4,6953,24,medium,1
1,1045,9,low,0
3,3409,3,low,0
4,6657,31,medium,1
5,9063,10,high,0
5,8451,17,high,0
1,1370,19,low,0
4,5900,13,medium,0
5,7803,22,high,0
2,2153,7,low,0
5,7342,10,high,0
2,2991,30,low,1
2,2506,7,low,0
5,7415,14,high,0
4,6197,13,medium,1
4,5412,8,medium,0
4,5914,19,medium,0
5,7653,9,high,0
4,5992,5,medium,1
4,4980,21,medium,0
1,1063,5,low,0
4,5715,19,medium,0
4,5395,3,medium,0
5,8305,31,high,0
5,9963,4,high,0
4,6408,3,medium,1
5,7915,10,high,0
1,1179,1,low,0
4,5460,5,medium,0
4,5208,1,medium,0
1,1526,27,low,0
4,6251,31,medium,0
1,1539,15,low,0
5,7155,17,high,1
4,6874,26,medium,1
5,8530,18,high,0
4,4322,17,medium,0
4,6545,31,medium,0
4,6750,12,medium,0
4,5471,8,medium,1
4,5261,16,medium,0
5,9313,12,high,0
4,6789,4,medium,1
5,9532,23,high,1
4,6261,26,medium,1
2,2496,31,low,0
4,6174,6,medium,0
5,9970,17,high,1
4,4709,2,medium,0
1,1640,25,low,0
2,2613,2,low,0
4,4043,11,medium,0
4,4864,28,medium,0
4,4608,1,medium,1
3,3840,19,low,1
5,7030,25,high,1
5,9092,4,high,0
5,7102,6,high,0
5,8634,10,high,0
5,8231,4,high,0
4,5345,13,medium,1
1,1928,26,low,0
4,6679,4,medium,1
5,9660,23,high,0
4,5276,14,medium,1
2,2338,10,low,0
4,5042,5,medium,0
4,4622,4,medium,1
4,6703,26,medium,1
4,4198,27,medium,0
5,8611,31,high,0
2,2901,18,low,1
4,5316,7,medium,0
2,2376,5,low,1
1,1517,21,low,0
4,4484,22,medium,0
5,8797,12,high,1
2,2737,17,low,1
1,1427,4,low,0
3,3582,7,low,0
5,8463,23,high,1
5,9793,6,high,1
4,5877,21,medium,0
5,9602,29,high,0
4,6935,17,medium,1
5,9338,4,high,0
5,9447,16,high,0
5,7714,13,high,0
1,1481,25,low,1
5,7407,15,high,1
4,5437,2,medium,1
4,5263,15,medium,0
5,8578,21,high,0
4,4562,30,medium,1
5,9197,22,high,0
2,2763,6,low,0
5,7526,17,high,0
5,7064,10,high,0
4,4338,26,medium,1
4,5168,9,medium,0
5,9686,8,high,0
2,2769,7,low,0
4,6456,26,medium,1
4,4614,3,medium,0
5,9274,30,high,0
4,5666,27,medium,0
5,9160,2,high,0
2,2922,4,low,1
1,1263,30,low,1
5,9115,23,high,1
5,7909,13,high,0
5,8027,24,high,1
1,1487,28,low,1
4,6785,25,medium,0
4,4572,24,medium,1
2,2993,17,low,0
5,7304,18,high,1
1,1709,4,low,0
3,3018,6,low,0
1,1758,6,low,0
5,8347,1,high,0
3,3051,3,low,0
4,6523,24,medium,0
4,4529,2,medium,0
3,3139,11,low,1
4,6947,19,medium,0
5,7119,18,high,1
4,6226,20,medium,0
1,1330,4,low,0
5,8083,13,high,0
5,8245,20,high,0
4,5627,29,medium,0
4,6687,24,medium,0
4,5793,29,medium,0
5,9158,24,high,1
2,2038,13,low,0
4,4451,18,medium,0
1,1912,15,low,0
5,8953,28,high,0
5,9931,6,high,1
5,8130,22,high,0
3,3671,24,low,0
2,2518,25,low,0
5,7806,18,high,0
2,2174,26,low,0
4,4227,7,medium,0
5,8432,5,high,1
4,6672,21,medium,1
5,8964,30,high,1
1,1288,3,low,1
1,1565,21,low,0
4,5034,21,medium,1
4,6296,1,medium,0
5,8419,17,high,0
5,8854,30,high,0
5,7912,20,high,0
1,1555,30,low,0
1,1651,4,low,1
5,9897,14,high,0
4,5663,28,medium,0
3,3177,16,low,0
4,4034,5,medium,1
5,7204,11,high,1
4,6685,11,medium,0
5,7383,14,high,1
5,7819,6,high,0
4,5799,12,medium,1
5,8781,19,high,0
1,1630,17,low,0
5,9819,23,high,1
5,8382,8,high,0
4,6126,25,medium,1
5,9521,9,high,1
2,2215,4,low,0
2,2191,14,low,0
1,1948,23,low,0
2,2378,23,low,0
2,2092,7,low,0
3,3203,4,low,0
