target,monthly_income,time_of_month,savings,guests
4,7233,3,high,0
1,1249,18,low,0
1,3289,16,low,0
2,4719,29,medium,0
5,9245,29,high,0
5,9231,18,high,0
1,2273,20,low,0
1,2793,20,low,1
1,2689,4,low,0
5,9963,15,high,0
2,4780,31,medium,0
2,4662,9,medium,0
2,3853,21,low,0
5,9138,9,high,0
2,4356,17,medium,0
3,5076,27,medium,0
1,1337,14,low,0
1,1020,28,low,0
1,1205,11,low,0
5,8626,16,high,0
5,8727,14,high,0
5,9644,30,high,0
2,4166,16,medium,0
5,8367,1,high,0
5,9185,26,high,0
2,4628,22,medium,0
1,1134,14,low,0
1,1269,13,low,0
2,4304,13,medium,0
4,7409,28,high,0
1,2897,27,low,1
1,1636,29,low,0
3,6479,15,medium,0
4,7313,10,high,0
3,5415,26,medium,0
4,7300,26,high,0
2,4375,29,medium,0
1,2221,27,low,1
2,4439,11,medium,0
2,4691,12,medium,0
4,7519,23,high,0
5,8436,3,high,0
4,7915,17,high,0
2,3501,1,low,0
1,3047,28,low,0
3,6159,16,medium,0
1,1547,10,low,0
2,4389,17,medium,0
2,4391,7,medium,0
4,7927,4,high,0
4,8045,25,high,0
4,7915,3,high,0
1,2320,30,low,0
5,8550,14,high,1
2,4797,26,medium,0
2,4193,11,medium,0
1,2363,23,low,0
2,3323,29,low,0
2,4549,6,medium,0
3,5647,25,medium,0
5,8761,29,high,0
3,5468,11,medium,0
1,2445,19,low,1
2,4230,15,medium,0
4,6758,17,medium,0
5,9606,22,high,0
1,2876,1,low,0
1,1683,5,low,0
5,8436,7,high,0
4,8072,31,high,0
2,3524,28,low,0
4,8033,6,high,0
2,4426,1,medium,0
3,5111,22,medium,0
2,3801,8,low,0
1,2978,30,low,0
3,6553,28,medium,0
5,9153,22,high,0
5,8522,12,high,0
3,5587,14,medium,1
1,1008,2,low,0
5,9295,27,high,0
4,7247,25,high,1
2,4073,7,medium,0
2,3450,10,low,0
1,2505,10,low,0
5,9078,19,high,0
3,6242,24,medium,0
4,8169,21,high,0
3,5264,5,medium,0
4,7601,14,high,0
5,9892,8,high,1
4,7754,23,high,0
1,2873,30,low,0
3,5909,6,medium,0
1,2486,10,low,0
3,5623,29,medium,0
2,3745,16,low,0
1,2259,11,low,1
1,1303,15,low,0
5,9982,6,high,0
3,5090,7,medium,0
5,8331,18,high,1
3,5000,1,medium,0
1,2591,11,low,0
5,9249,17,high,1
4,7808,13,high,0
1,1151,9,low,0
1,1550,9,low,0
4,7431,27,high,0
3,6145,23,medium,0
1,1537,13,low,0
1,1952,24,low,0
2,3442,28,low,0
2,4561,17,medium,1
1,1778,25,low,0
4,6678,11,medium,0
2,4587,24,medium,0
4,7580,26,high,0
3,5528,17,medium,0
3,6521,27,medium,0
3,5125,9,medium,0
1,2400,20,low,0
3,6224,20,medium,0
4,7248,19,high,0
4,8235,12,high,0
1,1604,19,low,1
1,2570,15,low,0
4,7092,3,high,0
4,8329,28,high,0
1,3283,22,low,0
1,3024,18,low,0
1,1588,30,low,0
1,2722,29,low,0
3,5580,12,medium,0
3,6219,7,medium,0
3,5451,11,medium,0
5,9276,14,high,0
4,7302,25,high,0
5,9673,8,high,0
1,2291,9,low,0
1,2877,26,low,0
2,4872,8,medium,0
2,3432,16,low,1
4,7699,11,high,0
