target,monthly_income,time_of_month,savings,guests
4.588316998082886,9848,25,high,0
4.886144487651781,8890,22,high,0
3.507350635538956,7542,19,high,0
5.0,9801,28,high,0
5.0,8540,2,high,0
1.0,3320,31,low,1
5.0,8915,24,high,1
5.0,8607,30,high,0
1.8564703694039963,4071,23,medium,0
1.025555450545803,2028,3,low,0
4.463647176491955,7106,16,high,0
1.0,1661,20,low,0
4.1848417598227465,9490,20,high,1
2.051803255928723,5812,29,medium,0
2.6339977385214683,6505,6,medium,1
4.196537960422173,7297,11,high,0
5.0,9312,25,high,1
1.0,2289,23,low,1
2.757894389691095,3933,28,low,0
3.025648307720122,5091,30,medium,1
1.8274123549324206,3748,10,low,0
3.0765383485855655,5694,11,medium,0
5.0,9208,16,high,1
3.7372645171666075,6997,30,medium,0
3.717351548298878,7698,3,high,0
1.6637602610665325,3992,15,low,0
1.8030371014593118,4936,30,medium,0
4.145562779699405,7864,1,high,0
1.0,1081,24,low,0
1.0,2199,28,low,0
2.5141976531270487,5292,9,medium,0
4.302633439014345,6943,14,medium,1
2.156318534941425,3709,1,low,0
1.0,3162,27,low,0
4.8507023612231475,8833,28,high,0
1.0,1600,23,low,0
3.385728334883228,5273,4,medium,0
5.0,9336,27,high,1
3.767379584179631,7609,28,high,0
3.76873508362651,7360,22,high,0
3.7544658191634896,6215,31,medium,1
4.342321414132779,6984,22,medium,0
2.992280000829469,4114,9,medium,1
1.0,2438,18,low,0
1.0,1834,9,low,1
3.4982484712096116,6701,17,medium,1
2.5646545301240553,5952,19,medium,0
1.2019611484197914,3673,22,low,0
1.568523826542842,4789,13,medium,0
2.1252597120348957,3538,14,low,1
4.650521786937099,8838,15,high,0
3.6436742529088515,5271,19,medium,0
5.0,8624,21,high,0
5.0,8515,17,high,0
1.0,2132,22,low,0
4.883510535880746,8667,1,high,1
2.8976434737273324,3691,17,low,0
1.0,2637,14,low,0
1.2497525176807271,3031,19,low,0
4.07770289343298,5943,25,medium,0
4.579016511324329,9160,10,high,0
3.8090474721671344,7231,5,high,1
1.4231806838129377,4484,24,medium,1
1.6832148869136043,3527,20,low,0
3.7922309666248277,8281,19,high,0
1.1933552929364573,1626,10,low,1
3.7481840684010654,5777,23,medium,1
4.790534902808494,8534,3,high,0
2.069890790402018,4730,24,medium,0
2.219298884494725,5465,16,medium,0
3.446501039892077,6031,2,medium,0
3.5187752406965465,6780,15,medium,0
1.5070946439884163,3892,19,low,0
2.6634875157379083,4516,11,medium,1
1.0,1160,31,low,0
4.7772765798247905,9586,4,high,1
4.936800817598831,9061,28,high,0
2.0869734537727673,5440,12,medium,0
2.8323033316299027,5962,1,medium,1
3.168813818648431,6651,29,medium,0
4.862105577316632,9523,8,high,0
1.2375531456980324,4241,30,medium,0
3.696686538790951,5544,13,medium,0
1.0,2378,31,low,0
1.4092337098607075,2351,23,low,0
3.3765361490040364,7122,26,high,1
1.0,1659,17,low,1
3.6655057615145354,7527,10,high,1
1.1626809487407197,3197,29,low,0
2.2431418439118755,3598,10,low,0
3.26868961695896,7957,8,high,0
4.475800764465463,7028,16,high,0
2.6243863887186065,5329,16,medium,0
4.066349606411159,8727,20,high,1
1.0,1353,3,low,0
1.3421115521974523,4042,6,medium,1
3.8739866753328625,7875,2,high,1
1.8124249551456844,4595,12,medium,0
5.0,9201,24,high,1
4.017699647559301,8324,17,high,0
5.0,9034,3,high,0
1.4169667724601365,3915,29,low,1
1.0782583151868408,3193,22,low,0
5.0,8699,24,high,0
3.4933975198485783,7041,18,high,1
4.2712734598179125,7273,25,high,0
2.210700309897855,4758,8,medium,0
1.0,2234,7,low,0
1.0,2152,14,low,1
2.2251777353652575,4987,7,medium,1
1.123087682797973,3072,31,low,0
5.0,8987,21,high,0
1.108306018187755,4947,11,medium,1
2.3517227811051633,3808,11,low,1
5.0,8847,30,high,0
1.1371200043936123,1037,4,low,1
5.0,9840,22,high,1
1.0,3095,29,low,0
2.749649677811809,4781,11,medium,1
2.900006074101116,6540,25,medium,0
1.4957736857101223,4939,19,medium,0
3.6020154406266736,5291,19,medium,0
5.0,9485,2,high,0
1.5410950184554522,4730,19,medium,0
3.5978857080318623,6012,21,medium,1
2.675902443803655,6002,6,medium,0
3.6391532151538035,7925,9,high,0
2.714500436449746,5497,22,medium,0
4.81921749116586,8655,22,high,0
3.742431876878922,7191,15,high,0
2.8113283026017517,4479,20,medium,1
1.1813521444856097,3518,27,low,0
1.7724408252148867,2281,27,low,1
1.2021004390769892,1633,12,low,0
1.3983780110112034,1540,19,low,1
